id,created_at,state,product_code,description,units,price_jpy,discount_jpy,delivery_jpy,tax_jpy
H-00020,2026-04-07T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,3,3775,0,0,1132
H-00021,2026-04-18T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,4,5000,0,450,2000
H-00022,2026-04-29T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,5,2025,0,0,1012
H-00023,2026-05-10T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,1,3250,0,0,325
H-00024,2026-05-21T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,2,4475,0,0,895
H-00025,2026-06-01T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,3,1500,0,450,450
H-00026,2026-06-12T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,4,2725,0,0,1090
H-00027,2026-06-23T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,5,3950,0,0,1975
H-00028,2026-07-04T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,1,975,200,0,98
H-00029,2026-07-15T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,2,2200,0,450,440
H-00030,2026-07-26T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,3,3425,0,0,1028
H-00031,2026-08-06T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,4,4650,0,0,1860
H-00032,2026-08-17T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,5,1675,0,0,838
H-00033,2026-08-28T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,1,2900,0,450,290
H-00034,2025-09-08T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,2,4125,0,0,825
H-00035,2025-09-19T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,3,1150,0,0,345
H-00036,2025-09-30T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,4,2375,0,0,950
H-00037,2025-10-11T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,5,3600,200,450,1800
H-00038,2025-10-22T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,1,4825,0,0,482
H-00039,2025-11-02T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,2,1850,0,0,370
H-00040,2025-11-13T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,3,3075,0,0,922
H-00041,2025-11-24T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,4,4300,0,450,1720
H-00042,2025-12-05T00:00:00+0000,void,P-003,Synthetic Product 03,5,1325,0,0,662
H-00043,2025-12-16T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,1,2550,0,0,255
H-00044,2025-12-27T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,2,3775,0,0,755
H-00045,2026-01-07T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,3,5000,0,450,1500
H-00046,2026-01-18T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,4,2025,200,0,810
H-00047,2026-01-29T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,5,3250,0,0,1625
H-00048,2026-02-09T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,1,4475,0,0,448
H-00049,2026-02-20T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,2,1500,0,450,300
H-00050,2026-03-03T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,3,2725,0,0,818
H-00051,2026-03-14T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,4,3950,0,0,1580
H-00052,2026-03-25T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,5,975,0,0,488
H-00053,2026-04-05T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,1,2200,0,450,220
H-00054,2026-04-16T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,2,3425,0,0,685
H-00055,2026-04-27T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,3,4650,200,0,1395
H-00056,2026-05-08T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,4,1675,0,0,670
H-00057,2026-05-19T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,5,2900,0,450,1450
H-00058,2026-05-30T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,1,4125,0,0,412
H-00059,2026-06-10T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,2,1150,0,0,230
H-00060,2026-06-21T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,3,2375,0,0,712
H-00061,2026-07-02T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,4,3600,0,450,1440
H-00062,2026-07-13T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,5,4825,0,0,2412
H-00063,2026-07-24T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,1,1850,0,0,185
H-00064,2026-08-04T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,2,3075,200,0,615
H-00065,2026-08-15T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,3,4300,0,450,1290
H-00066,2026-08-26T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,4,1325,0,0,530
H-00067,2025-09-06T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,5,2550,0,0,1275
H-00068,2025-09-17T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,1,3775,0,0,378
H-00069,2025-09-28T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,2,5000,0,450,1000
H-00070,2025-10-09T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,3,2025,0,0,608
H-00071,2025-10-20T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,4,3250,0,0,1300
H-00072,2025-10-31T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,5,4475,0,0,2238
H-00073,2025-11-11T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,1,1500,200,450,150
H-00074,2025-11-22T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,2,2725,0,0,545
H-00075,2025-12-03T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,3,3950,0,0,1185
H-00076,2025-12-14T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,4,975,0,0,390
H-00077,2025-12-25T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,5,2200,0,450,1100
H-00078,2026-01-05T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,1,3425,0,0,342
H-00079,2026-01-16T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,2,4650,0,0,930
H-00080,2026-01-27T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,3,1675,0,0,502
H-00081,2026-02-07T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,4,2900,0,450,1160
H-00082,2026-02-18T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,5,4125,200,0,2062
H-00083,2026-03-01T00:00:00+0000,void,P-002,Synthetic Product 02,1,1150,0,0,115
H-00084,2026-03-12T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,2,2375,0,0,475
H-00085,2026-03-23T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,3,3600,0,450,1080
H-00086,2026-04-03T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,4,4825,0,0,1930
H-00087,2026-04-14T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,5,1850,0,0,925
H-00088,2026-04-25T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,1,3075,0,0,308
H-00089,2026-05-06T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,2,4300,0,450,860
H-00090,2026-05-17T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,3,1325,0,0,398
H-00091,2026-05-28T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,4,2550,200,0,1020
H-00092,2026-06-08T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,5,3775,0,0,1888
H-00093,2026-06-19T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,1,5000,0,450,500
H-00094,2026-06-30T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,2,2025,0,0,405
H-00095,2026-07-11T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,3,3250,0,0,975
H-00096,2026-07-22T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,4,4475,0,0,1790
H-00097,2026-08-02T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,5,1500,0,450,750
H-00098,2026-08-13T00:00:00+0000,refunded,P-011,Synthetic Product 11,1,2725,0,0,272
H-00099,2026-08-24T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,2,3950,0,0,790
H-00100,2025-09-04T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,3,975,200,0,292
H-00101,2025-09-15T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,4,2200,0,450,880
H-00102,2025-09-26T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,5,3425,0,0,1712
H-00103,2025-10-07T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,1,4650,0,0,465
H-00104,2025-10-18T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,2,1675,0,0,335
H-00105,2025-10-29T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,3,2900,0,450,870
H-00106,2025-11-09T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,4,4125,0,0,1650
H-00107,2025-11-20T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,5,1150,0,0,575
H-00108,2025-12-01T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,1,2375,0,0,238
H-00109,2025-12-12T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,2,3600,200,450,720
H-00110,2025-12-23T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,3,4825,0,0,1448
H-00111,2026-01-03T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,4,1850,0,0,740
H-00112,2026-01-14T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,5,3075,0,0,1538
H-00113,2026-01-25T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,1,4300,0,450,430
H-00114,2026-02-05T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,2,1325,0,0,265
H-00115,2026-02-16T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,3,2550,0,0,765
H-00116,2026-02-27T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,4,3775,0,0,1510
H-00117,2026-03-10T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,5,5000,0,450,2500
H-00118,2026-03-21T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,1,2025,200,0,202
H-00119,2026-04-01T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,2,3250,0,0,650
H-00120,2026-04-12T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,3,4475,0,0,1342
H-00121,2026-04-23T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,4,1500,0,450,600
H-00122,2026-05-04T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,5,2725,0,0,1362
H-00123,2026-05-15T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,1,3950,0,0,395
H-00124,2026-05-26T00:00:00+0000,void,P-001,Synthetic Product 01,2,975,0,0,195
H-00125,2026-06-06T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,3,2200,0,450,660
H-00126,2026-06-17T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,4,3425,0,0,1370
H-00127,2026-06-28T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,5,4650,200,0,2325
H-00128,2026-07-09T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,1,1675,0,0,168
H-00129,2026-07-20T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,2,2900,0,450,580
H-00130,2026-07-31T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,3,4125,0,0,1238
H-00131,2026-08-11T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,4,1150,0,0,460
H-00132,2026-08-22T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,5,2375,0,0,1188
H-00133,2025-09-02T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,1,3600,0,450,360
H-00134,2025-09-13T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,2,4825,0,0,965
H-00135,2025-09-24T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,3,1850,0,0,555
H-00136,2025-10-05T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,4,3075,200,0,1230
H-00137,2025-10-16T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,5,4300,0,450,2150
H-00138,2025-10-27T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,1,1325,0,0,132
H-00139,2025-11-07T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,2,2550,0,0,510
H-00140,2025-11-18T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,3,3775,0,0,1132
H-00141,2025-11-29T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,4,5000,0,450,2000
H-00142,2025-12-10T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,5,2025,0,0,1012
H-00143,2025-12-21T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,1,3250,0,0,325
H-00144,2026-01-01T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,2,4475,0,0,895
H-00145,2026-01-12T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,3,1500,200,450,450
H-00146,2026-01-23T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,4,2725,0,0,1090
H-00147,2026-02-03T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,5,3950,0,0,1975
H-00148,2026-02-14T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,1,975,0,0,98
H-00149,2026-02-25T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,2,2200,0,450,440
H-00150,2026-03-08T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,3,3425,0,0,1028
H-00151,2026-03-19T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,4,4650,0,0,1860
H-00152,2026-03-30T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,5,1675,0,0,838
H-00153,2026-04-10T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,1,2900,0,450,290
H-00154,2026-04-21T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,2,4125,200,0,825
H-00155,2026-05-02T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,3,1150,0,0,345
H-00156,2026-05-13T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,4,2375,0,0,950
H-00157,2026-05-24T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,5,3600,0,450,1800
H-00158,2026-06-04T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,1,4825,0,0,482
H-00159,2026-06-15T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,2,1850,0,0,370
H-00160,2026-06-26T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,3,3075,0,0,922
H-00161,2026-07-07T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,4,4300,0,450,1720
H-00162,2026-07-18T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,5,1325,0,0,662
H-00163,2026-07-29T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,1,2550,200,0,255
H-00164,2026-08-09T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,2,3775,0,0,755
H-00165,2026-08-20T00:00:00+0000,void,P-024,Synthetic Product 24,3,5000,0,450,1500
H-00166,2026-08-31T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,4,2025,0,0,810
H-00167,2025-09-11T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,5,3250,0,0,1625
H-00168,2025-09-22T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,1,4475,0,0,448
H-00169,2025-10-03T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,2,1500,0,450,300
H-00170,2025-10-14T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,3,2725,0,0,818
H-00171,2025-10-25T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,4,3950,0,0,1580
H-00172,2025-11-05T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,5,975,200,0,488
H-00173,2025-11-16T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,1,2200,0,450,220
H-00174,2025-11-27T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,2,3425,0,0,685
H-00175,2025-12-08T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,3,4650,0,0,1395
H-00176,2025-12-19T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,4,1675,0,0,670
H-00177,2025-12-30T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,5,2900,0,450,1450
H-00178,2026-01-10T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,1,4125,0,0,412
H-00179,2026-01-21T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,2,1150,0,0,230
H-00180,2026-02-01T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,3,2375,0,0,712
H-00181,2026-02-12T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,4,3600,200,450,1440
H-00182,2026-02-23T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,5,4825,0,0,2412
H-00183,2026-03-06T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,1,1850,0,0,185
H-00184,2026-03-17T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,2,3075,0,0,615
H-00185,2026-03-28T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,3,4300,0,450,1290
H-00186,2026-04-08T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,4,1325,0,0,530
H-00187,2026-04-19T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,5,2550,0,0,1275
H-00188,2026-04-30T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,1,3775,0,0,378
H-00189,2026-05-11T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,2,5000,0,450,1000
H-00190,2026-05-22T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,3,2025,200,0,608
H-00191,2026-06-02T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,4,3250,0,0,1300
H-00192,2026-06-13T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,5,4475,0,0,2238
H-00193,2026-06-24T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,1,1500,0,450,150
H-00194,2026-07-05T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,2,2725,0,0,545
H-00195,2026-07-16T00:00:00+0000,refunded,P-018,Synthetic Product 18,3,3950,0,0,1185
H-00196,2026-07-27T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,4,975,0,0,390
H-00197,2026-08-07T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,5,2200,0,450,1100
H-00198,2026-08-18T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,1,3425,0,0,342
H-00199,2026-08-29T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,2,4650,200,0,930
H-00200,2025-09-09T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,3,1675,0,0,502
H-00201,2025-09-20T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,4,2900,0,450,1160
H-00202,2025-10-01T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,5,4125,0,0,2062
H-00203,2025-10-12T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,1,1150,0,0,115
H-00204,2025-10-23T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,2,2375,0,0,475
H-00205,2025-11-03T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,3,3600,0,450,1080
H-00206,2025-11-14T00:00:00+0000,void,P-023,Synthetic Product 23,4,4825,0,0,1930
H-00207,2025-11-25T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,5,1850,0,0,925
H-00208,2025-12-06T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,1,3075,200,0,308
H-00209,2025-12-17T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,2,4300,0,450,860
H-00210,2025-12-28T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,3,1325,0,0,398
H-00211,2026-01-08T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,4,2550,0,0,1020
H-00212,2026-01-19T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,5,3775,0,0,1888
H-00213,2026-01-30T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,1,5000,0,450,500
H-00214,2026-02-10T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,2,2025,0,0,405
H-00215,2026-02-21T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,3,3250,0,0,975
H-00216,2026-03-04T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,4,4475,0,0,1790
H-00217,2026-03-15T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,5,1500,200,450,750
H-00218,2026-03-26T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,1,2725,0,0,272
H-00219,2026-04-06T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,2,3950,0,0,790
H-00220,2026-04-17T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,3,975,0,0,292
H-00221,2026-04-28T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,4,2200,0,450,880
H-00222,2026-05-09T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,5,3425,0,0,1712
H-00223,2026-05-20T00:00:00+0000,fulfilled,P-022,Synthetic Product 22,1,4650,0,0,465
H-00224,2026-05-31T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,2,1675,0,0,335
H-00225,2026-06-11T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,3,2900,0,450,870
H-00226,2026-06-22T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,4,4125,200,0,1650
H-00227,2026-07-03T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,5,1150,0,0,575
H-00228,2026-07-14T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,1,2375,0,0,238
H-00229,2026-07-25T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,2,3600,0,450,720
H-00230,2026-08-05T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,3,4825,0,0,1448
H-00231,2026-08-16T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,4,1850,0,0,740
H-00232,2026-08-27T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,5,3075,0,0,1538
H-00233,2025-09-07T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,1,4300,0,450,430
H-00234,2025-09-18T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,2,1325,0,0,265
H-00235,2025-09-29T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,3,2550,200,0,765
H-00236,2025-10-10T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,4,3775,0,0,1510
H-00237,2025-10-21T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,5,5000,0,450,2500
H-00238,2025-11-01T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,1,2025,0,0,202
H-00239,2025-11-12T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,2,3250,0,0,650
H-00240,2025-11-23T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,3,4475,0,0,1342
H-00241,2025-12-04T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,4,1500,0,450,600
H-00242,2025-12-15T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,5,2725,0,0,1362
H-00243,2025-12-26T00:00:00+0000,fulfilled,P-018,Synthetic Product 18,1,3950,0,0,395
H-00244,2026-01-06T00:00:00+0000,fulfilled,P-001,Synthetic Product 01,2,975,200,0,195
H-00245,2026-01-17T00:00:00+0000,fulfilled,P-008,Synthetic Product 08,3,2200,0,450,660
H-00246,2026-01-28T00:00:00+0000,fulfilled,P-015,Synthetic Product 15,4,3425,0,0,1370
H-00247,2026-02-08T00:00:00+0000,void,P-022,Synthetic Product 22,5,4650,0,0,2325
H-00248,2026-02-19T00:00:00+0000,fulfilled,P-005,Synthetic Product 05,1,1675,0,0,168
H-00249,2026-03-02T00:00:00+0000,fulfilled,P-012,Synthetic Product 12,2,2900,0,450,580
H-00250,2026-03-13T00:00:00+0000,fulfilled,P-019,Synthetic Product 19,3,4125,0,0,1238
H-00251,2026-03-24T00:00:00+0000,fulfilled,P-002,Synthetic Product 02,4,1150,0,0,460
H-00252,2026-04-04T00:00:00+0000,fulfilled,P-009,Synthetic Product 09,5,2375,0,0,1188
H-00253,2026-04-15T00:00:00+0000,fulfilled,P-016,Synthetic Product 16,1,3600,200,450,360
H-00254,2026-04-26T00:00:00+0000,fulfilled,P-023,Synthetic Product 23,2,4825,0,0,965
H-00255,2026-05-07T00:00:00+0000,fulfilled,P-006,Synthetic Product 06,3,1850,0,0,555
H-00256,2026-05-18T00:00:00+0000,fulfilled,P-013,Synthetic Product 13,4,3075,0,0,1230
H-00257,2026-05-29T00:00:00+0000,fulfilled,P-020,Synthetic Product 20,5,4300,0,450,2150
H-00258,2026-06-09T00:00:00+0000,fulfilled,P-003,Synthetic Product 03,1,1325,0,0,132
H-00259,2026-06-20T00:00:00+0000,fulfilled,P-010,Synthetic Product 10,2,2550,0,0,510
H-00260,2026-07-01T00:00:00+0000,fulfilled,P-017,Synthetic Product 17,3,3775,0,0,1132
H-00261,2026-07-12T00:00:00+0000,fulfilled,P-024,Synthetic Product 24,4,5000,0,450,2000
H-00262,2026-07-23T00:00:00+0000,fulfilled,P-007,Synthetic Product 07,5,2025,200,0,1012
H-00263,2026-08-03T00:00:00+0000,fulfilled,P-014,Synthetic Product 14,1,3250,0,0,325
H-00264,2026-08-14T00:00:00+0000,fulfilled,P-021,Synthetic Product 21,2,4475,0,0,895
H-00265,2026-08-25T00:00:00+0000,fulfilled,P-004,Synthetic Product 04,3,1500,0,450,450
H-00266,2025-09-05T00:00:00+0000,fulfilled,P-011,Synthetic Product 11,4,2725,0,0,1090
