order_no,order_date,status,sku,item,qty,unit_price,discount,shipping,tax
N-00057,2026-05-13,paid,P-010,Synthetic Product 10,3,2550,0,450,765
N-00058,2026-05-24,paid,P-017,Synthetic Product 17,4,3775,0,0,1510
N-00059,2026-06-04,paid,P-024,Synthetic Product 24,5,5000,0,0,2500
N-00060,2026-06-15,paid,P-007,Synthetic Product 07,1,2025,0,0,202
N-00061,2026-06-26,paid,P-014,Synthetic Product 14,2,3250,0,450,650
N-00062,2026-07-07,paid,P-021,Synthetic Product 21,3,4475,0,0,1342
N-00063,2026-07-18,paid,P-004,Synthetic Product 04,4,1500,0,0,600
N-00064,2026-07-29,paid,P-011,Synthetic Product 11,5,2725,200,0,1362
N-00065,2026-08-09,paid,P-018,Synthetic Product 18,1,3950,0,450,395
N-00066,2026-08-20,paid,P-001,Synthetic Product 01,2,975,0,0,195
N-00067,2026-08-31,paid,P-008,Synthetic Product 08,3,2200,0,0,660
N-00068,2025-09-11,paid,P-015,Synthetic Product 15,4,3425,0,0,1370
N-00069,2025-09-22,paid,P-022,Synthetic Product 22,5,4650,0,450,2325
N-00070,2025-10-03,paid,P-005,Synthetic Product 05,1,1675,0,0,168
N-00071,2025-10-14,paid,P-012,Synthetic Product 12,2,2900,0,0,580
N-00072,2025-10-25,paid,P-019,Synthetic Product 19,3,4125,0,0,1238
N-00073,2025-11-05,paid,P-002,Synthetic Product 02,4,1150,200,450,460
N-00074,2025-11-16,paid,P-009,Synthetic Product 09,5,2375,0,0,1188
N-00075,2025-11-27,paid,P-016,Synthetic Product 16,1,3600,0,0,360
N-00076,2025-12-08,paid,P-023,Synthetic Product 23,2,4825,0,0,965
N-00077,2025-12-19,paid,P-006,Synthetic Product 06,3,1850,0,450,555
N-00078,2025-12-30,paid,P-013,Synthetic Product 13,4,3075,0,0,1230
N-00079,2026-01-10,paid,P-020,Synthetic Product 20,5,4300,0,0,2150
N-00080,2026-01-21,paid,P-003,Synthetic Product 03,1,1325,0,0,132
N-00081,2026-02-01,paid,P-010,Synthetic Product 10,2,2550,0,450,510
N-00082,2026-02-12,paid,P-017,Synthetic Product 17,3,3775,200,0,1132
N-00083,2026-02-23,cancelled,P-024,Synthetic Product 24,4,5000,0,0,2000
N-00084,2026-03-06,paid,P-007,Synthetic Product 07,5,2025,0,0,1012
N-00085,2026-03-17,paid,P-014,Synthetic Product 14,1,3250,0,450,325
N-00086,2026-03-28,paid,P-021,Synthetic Product 21,2,4475,0,0,895
N-00087,2026-04-08,paid,P-004,Synthetic Product 04,3,1500,0,0,450
N-00088,2026-04-19,paid,P-011,Synthetic Product 11,4,2725,0,0,1090
N-00089,2026-04-30,paid,P-018,Synthetic Product 18,5,3950,0,450,1975
N-00090,2026-05-11,paid,P-001,Synthetic Product 01,1,975,0,0,98
N-00091,2026-05-22,paid,P-008,Synthetic Product 08,2,2200,200,0,440
N-00092,2026-06-02,paid,P-015,Synthetic Product 15,3,3425,0,0,1028
N-00093,2026-06-13,paid,P-022,Synthetic Product 22,4,4650,0,450,1860
N-00094,2026-06-24,paid,P-005,Synthetic Product 05,5,1675,0,0,838
N-00095,2026-07-05,paid,P-012,Synthetic Product 12,1,2900,0,0,290
N-00096,2026-07-16,paid,P-019,Synthetic Product 19,2,4125,0,0,825
N-00097,2026-07-27,paid,P-002,Synthetic Product 02,3,1150,0,450,345
N-00098,2026-08-07,refunded,P-009,Synthetic Product 09,4,2375,0,0,950
N-00099,2026-08-18,paid,P-016,Synthetic Product 16,5,3600,0,0,1800
N-00100,2026-08-29,paid,P-023,Synthetic Product 23,1,4825,200,0,482
N-00101,2025-09-09,paid,P-006,Synthetic Product 06,2,1850,0,450,370
N-00102,2025-09-20,paid,P-013,Synthetic Product 13,3,3075,0,0,922
N-00103,2025-10-01,paid,P-020,Synthetic Product 20,4,4300,0,0,1720
N-00104,2025-10-12,paid,P-003,Synthetic Product 03,5,1325,0,0,662
N-00105,2025-10-23,paid,P-010,Synthetic Product 10,1,2550,0,450,255
N-00106,2025-11-03,paid,P-017,Synthetic Product 17,2,3775,0,0,755
N-00107,2025-11-14,paid,P-024,Synthetic Product 24,3,5000,0,0,1500
N-00108,2025-11-25,paid,P-007,Synthetic Product 07,4,2025,0,0,810
N-00109,2025-12-06,paid,P-014,Synthetic Product 14,5,3250,200,450,1625
N-00110,2025-12-17,paid,P-021,Synthetic Product 21,1,4475,0,0,448
N-00111,2025-12-28,paid,P-004,Synthetic Product 04,2,1500,0,0,300
N-00112,2026-01-08,paid,P-011,Synthetic Product 11,3,2725,0,0,818
N-00113,2026-01-19,paid,P-018,Synthetic Product 18,4,3950,0,450,1580
N-00114,2026-01-30,paid,P-001,Synthetic Product 01,5,975,0,0,488
N-00115,2026-02-10,paid,P-008,Synthetic Product 08,1,2200,0,0,220
N-00116,2026-02-21,paid,P-015,Synthetic Product 15,2,3425,0,0,685
N-00117,2026-03-04,paid,P-022,Synthetic Product 22,3,4650,0,450,1395
N-00118,2026-03-15,paid,P-005,Synthetic Product 05,4,1675,200,0,670
N-00119,2026-03-26,paid,P-012,Synthetic Product 12,5,2900,0,0,1450
N-00120,2026-04-06,paid,P-019,Synthetic Product 19,1,4125,0,0,412
N-00121,2026-04-17,paid,P-002,Synthetic Product 02,2,1150,0,450,230
N-00122,2026-04-28,paid,P-009,Synthetic Product 09,3,2375,0,0,712
N-00123,2026-05-09,paid,P-016,Synthetic Product 16,4,3600,0,0,1440
N-00124,2026-05-20,cancelled,P-023,Synthetic Product 23,5,4825,0,0,2412
N-00125,2026-05-31,paid,P-006,Synthetic Product 06,1,1850,0,450,185
N-00126,2026-06-11,paid,P-013,Synthetic Product 13,2,3075,0,0,615
N-00127,2026-06-22,paid,P-020,Synthetic Product 20,3,4300,200,0,1290
N-00128,2026-07-03,paid,P-003,Synthetic Product 03,4,1325,0,0,530
N-00129,2026-07-14,paid,P-010,Synthetic Product 10,5,2550,0,450,1275
N-00130,2026-07-25,paid,P-017,Synthetic Product 17,1,3775,0,0,378
N-00131,2026-08-05,paid,P-024,Synthetic Product 24,2,5000,0,0,1000
N-00132,2026-08-16,paid,P-007,Synthetic Product 07,3,2025,0,0,608
N-00133,2026-08-27,paid,P-014,Synthetic Product 14,4,3250,0,450,1300
N-00134,2025-09-07,paid,P-021,Synthetic Product 21,5,4475,0,0,2238
N-00135,2025-09-18,paid,P-004,Synthetic Product 04,1,1500,0,0,150
N-00136,2025-09-29,paid,P-011,Synthetic Product 11,2,2725,200,0,545
N-00137,2025-10-10,paid,P-018,Synthetic Product 18,3,3950,0,450,1185
N-00138,2025-10-21,paid,P-001,Synthetic Product 01,4,975,0,0,390
N-00139,2025-11-01,paid,P-008,Synthetic Product 08,5,2200,0,0,1100
N-00140,2025-11-12,paid,P-015,Synthetic Product 15,1,3425,0,0,342
N-00141,2025-11-23,paid,P-022,Synthetic Product 22,2,4650,0,450,930
N-00142,2025-12-04,paid,P-005,Synthetic Product 05,3,1675,0,0,502
N-00143,2025-12-15,paid,P-012,Synthetic Product 12,4,2900,0,0,1160
N-00144,2025-12-26,paid,P-019,Synthetic Product 19,5,4125,0,0,2062
N-00145,2026-01-06,paid,P-002,Synthetic Product 02,1,1150,200,450,115
N-00146,2026-01-17,paid,P-009,Synthetic Product 09,2,2375,0,0,475
N-00147,2026-01-28,paid,P-016,Synthetic Product 16,3,3600,0,0,1080
N-00148,2026-02-08,paid,P-023,Synthetic Product 23,4,4825,0,0,1930
N-00149,2026-02-19,paid,P-006,Synthetic Product 06,5,1850,0,450,925
N-00150,2026-03-02,paid,P-013,Synthetic Product 13,1,3075,0,0,308
N-00151,2026-03-13,paid,P-020,Synthetic Product 20,2,4300,0,0,860
N-00152,2026-03-24,paid,P-003,Synthetic Product 03,3,1325,0,0,398
N-00153,2026-04-04,paid,P-010,Synthetic Product 10,4,2550,0,450,1020
N-00154,2026-04-15,paid,P-017,Synthetic Product 17,5,3775,200,0,1888
N-00155,2026-04-26,paid,P-024,Synthetic Product 24,1,5000,0,0,500
N-00156,2026-05-07,paid,P-007,Synthetic Product 07,2,2025,0,0,405
N-00157,2026-05-18,paid,P-014,Synthetic Product 14,3,3250,0,450,975
N-00158,2026-05-29,paid,P-021,Synthetic Product 21,4,4475,0,0,1790
N-00159,2026-06-09,paid,P-004,Synthetic Product 04,5,1500,0,0,750
N-00160,2026-06-20,paid,P-011,Synthetic Product 11,1,2725,0,0,272
N-00161,2026-07-01,paid,P-018,Synthetic Product 18,2,3950,0,450,790
N-00162,2026-07-12,paid,P-001,Synthetic Product 01,3,975,0,0,292
N-00163,2026-07-23,paid,P-008,Synthetic Product 08,4,2200,200,0,880
N-00164,2026-08-03,paid,P-015,Synthetic Product 15,5,3425,0,0,1712
N-00165,2026-08-14,cancelled,P-022,Synthetic Product 22,1,4650,0,450,465
N-00166,2026-08-25,paid,P-005,Synthetic Product 05,2,1675,0,0,335
N-00167,2025-09-05,paid,P-012,Synthetic Product 12,3,2900,0,0,870
N-00168,2025-09-16,paid,P-019,Synthetic Product 19,4,4125,0,0,1650
N-00169,2025-09-27,paid,P-002,Synthetic Product 02,5,1150,0,450,575
N-00170,2025-10-08,paid,P-009,Synthetic Product 09,1,2375,0,0,238
N-00171,2025-10-19,paid,P-016,Synthetic Product 16,2,3600,0,0,720
N-00172,2025-10-30,paid,P-023,Synthetic Product 23,3,4825,200,0,1448
N-00173,2025-11-10,paid,P-006,Synthetic Product 06,4,1850,0,450,740
N-00174,2025-11-21,paid,P-013,Synthetic Product 13,5,3075,0,0,1538
N-00175,2025-12-02,paid,P-020,Synthetic Product 20,1,4300,0,0,430
N-00176,2025-12-13,paid,P-003,Synthetic Product 03,2,1325,0,0,265
N-00177,2025-12-24,paid,P-010,Synthetic Product 10,3,2550,0,450,765
N-00178,2026-01-04,paid,P-017,Synthetic Product 17,4,3775,0,0,1510
N-00179,2026-01-15,paid,P-024,Synthetic Product 24,5,5000,0,0,2500
N-00180,2026-01-26,paid,P-007,Synthetic Product 07,1,2025,0,0,202
N-00181,2026-02-06,paid,P-014,Synthetic Product 14,2,3250,200,450,650
N-00182,2026-02-17,paid,P-021,Synthetic Product 21,3,4475,0,0,1342
N-00183,2026-02-28,paid,P-004,Synthetic Product 04,4,1500,0,0,600
N-00184,2026-03-11,paid,P-011,Synthetic Product 11,5,2725,0,0,1362
N-00185,2026-03-22,paid,P-018,Synthetic Product 18,1,3950,0,450,395
N-00186,2026-04-02,paid,P-001,Synthetic Product 01,2,975,0,0,195
N-00187,2026-04-13,paid,P-008,Synthetic Product 08,3,2200,0,0,660
N-00188,2026-04-24,paid,P-015,Synthetic Product 15,4,3425,0,0,1370
N-00189,2026-05-05,paid,P-022,Synthetic Product 22,5,4650,0,450,2325
N-00190,2026-05-16,paid,P-005,Synthetic Product 05,1,1675,200,0,168
N-00191,2026-05-27,paid,P-012,Synthetic Product 12,2,2900,0,0,580
N-00192,2026-06-07,paid,P-019,Synthetic Product 19,3,4125,0,0,1238
N-00193,2026-06-18,paid,P-002,Synthetic Product 02,4,1150,0,450,460
N-00194,2026-06-29,paid,P-009,Synthetic Product 09,5,2375,0,0,1188
N-00195,2026-07-10,refunded,P-016,Synthetic Product 16,1,3600,0,0,360
N-00196,2026-07-21,paid,P-023,Synthetic Product 23,2,4825,0,0,965
N-00197,2026-08-01,paid,P-006,Synthetic Product 06,3,1850,0,450,555
N-00198,2026-08-12,paid,P-013,Synthetic Product 13,4,3075,0,0,1230
N-00199,2026-08-23,paid,P-020,Synthetic Product 20,5,4300,200,0,2150
N-00200,2025-09-03,paid,P-003,Synthetic Product 03,1,1325,0,0,132
N-00201,2025-09-14,paid,P-010,Synthetic Product 10,2,2550,0,450,510
N-00202,2025-09-25,paid,P-017,Synthetic Product 17,3,3775,0,0,1132
N-00203,2025-10-06,paid,P-024,Synthetic Product 24,4,5000,0,0,2000
N-00204,2025-10-17,paid,P-007,Synthetic Product 07,5,2025,0,0,1012
N-00205,2025-10-28,paid,P-014,Synthetic Product 14,1,3250,0,450,325
N-00206,2025-11-08,cancelled,P-021,Synthetic Product 21,2,4475,0,0,895
N-00207,2025-11-19,paid,P-004,Synthetic Product 04,3,1500,0,0,450
N-00208,2025-11-30,paid,P-011,Synthetic Product 11,4,2725,200,0,1090
N-00209,2025-12-11,paid,P-018,Synthetic Product 18,5,3950,0,450,1975
N-00210,2025-12-22,paid,P-001,Synthetic Product 01,1,975,0,0,98
N-00211,2026-01-02,paid,P-008,Synthetic Product 08,2,2200,0,0,440
N-00212,2026-01-13,paid,P-015,Synthetic Product 15,3,3425,0,0,1028
N-00213,2026-01-24,paid,P-022,Synthetic Product 22,4,4650,0,450,1860
N-00214,2026-02-04,paid,P-005,Synthetic Product 05,5,1675,0,0,838
N-00215,2026-02-15,paid,P-012,Synthetic Product 12,1,2900,0,0,290
N-00216,2026-02-26,paid,P-019,Synthetic Product 19,2,4125,0,0,825
N-00217,2026-03-09,paid,P-002,Synthetic Product 02,3,1150,200,450,345
N-00218,2026-03-20,paid,P-009,Synthetic Product 09,4,2375,0,0,950
N-00219,2026-03-31,paid,P-016,Synthetic Product 16,5,3600,0,0,1800
N-00220,2026-04-11,paid,P-023,Synthetic Product 23,1,4825,0,0,482
N-00221,2026-04-22,paid,P-006,Synthetic Product 06,2,1850,0,450,370
N-00222,2026-05-03,paid,P-013,Synthetic Product 13,3,3075,0,0,922
N-00223,2026-05-14,paid,P-020,Synthetic Product 20,4,4300,0,0,1720
N-00224,2026-05-25,paid,P-003,Synthetic Product 03,5,1325,0,0,662
N-00225,2026-06-05,paid,P-010,Synthetic Product 10,1,2550,0,450,255
N-00226,2026-06-16,paid,P-017,Synthetic Product 17,2,3775,200,0,755
N-00227,2026-06-27,paid,P-024,Synthetic Product 24,3,5000,0,0,1500
N-00228,2026-07-08,paid,P-007,Synthetic Product 07,4,2025,0,0,810
N-00229,2026-07-19,paid,P-014,Synthetic Product 14,5,3250,0,450,1625
N-00230,2026-07-30,paid,P-021,Synthetic Product 21,1,4475,0,0,448
N-00231,2026-08-10,paid,P-004,Synthetic Product 04,2,1500,0,0,300
N-00232,2026-08-21,paid,P-011,Synthetic Product 11,3,2725,0,0,818
N-00233,2025-09-01,paid,P-018,Synthetic Product 18,4,3950,0,450,1580
N-00234,2025-09-12,paid,P-001,Synthetic Product 01,5,975,0,0,488
N-00235,2025-09-23,paid,P-008,Synthetic Product 08,1,2200,200,0,220
N-00236,2025-10-04,paid,P-015,Synthetic Product 15,2,3425,0,0,685
N-00237,2025-10-15,paid,P-022,Synthetic Product 22,3,4650,0,450,1395
N-00238,2025-10-26,paid,P-005,Synthetic Product 05,4,1675,0,0,670
N-00239,2025-11-06,paid,P-012,Synthetic Product 12,5,2900,0,0,1450
N-00240,2025-11-17,paid,P-019,Synthetic Product 19,1,4125,0,0,412
N-00241,2025-11-28,paid,P-002,Synthetic Product 02,2,1150,0,450,230
N-00242,2025-12-09,paid,P-009,Synthetic Product 09,3,2375,0,0,712
N-00243,2025-12-20,paid,P-016,Synthetic Product 16,4,3600,0,0,1440
N-00244,2025-12-31,paid,P-023,Synthetic Product 23,5,4825,200,0,2412
N-00245,2026-01-11,paid,P-006,Synthetic Product 06,1,1850,0,450,185
N-00246,2026-01-22,paid,P-013,Synthetic Product 13,2,3075,0,0,615
N-00247,2026-02-02,cancelled,P-020,Synthetic Product 20,3,4300,0,0,1290
N-00248,2026-02-13,paid,P-003,Synthetic Product 03,4,1325,0,0,530
N-00249,2026-02-24,paid,P-010,Synthetic Product 10,5,2550,0,450,1275
N-00250,2026-03-07,paid,P-017,Synthetic Product 17,1,3775,0,0,378
N-00251,2026-03-18,paid,P-024,Synthetic Product 24,2,5000,0,0,1000
N-00252,2026-03-29,paid,P-007,Synthetic Product 07,3,2025,0,0,608
N-00253,2026-04-09,paid,P-014,Synthetic Product 14,4,3250,200,450,1300
N-00254,2026-04-20,paid,P-021,Synthetic Product 21,5,4475,0,0,2238
N-00255,2026-05-01,paid,P-004,Synthetic Product 04,1,1500,0,0,150
N-00256,2026-05-12,paid,P-011,Synthetic Product 11,2,2725,0,0,545
N-00257,2026-05-23,paid,P-018,Synthetic Product 18,3,3950,0,450,1185
N-00258,2026-06-03,paid,P-001,Synthetic Product 01,4,975,0,0,390
N-00259,2026-06-14,paid,P-008,Synthetic Product 08,5,2200,0,0,1100
N-00260,2026-06-25,paid,P-015,Synthetic Product 15,1,3425,0,0,342
N-00261,2026-07-06,paid,P-022,Synthetic Product 22,2,4650,0,450,930
N-00262,2026-07-17,paid,P-005,Synthetic Product 05,3,1675,200,0,502
N-00263,2026-07-28,paid,P-012,Synthetic Product 12,4,2900,0,0,1160
N-00264,2026-08-08,paid,P-019,Synthetic Product 19,5,4125,0,0,2062
N-00265,2026-08-19,paid,P-002,Synthetic Product 02,1,1150,0,450,115
N-00266,2026-08-30,paid,P-009,Synthetic Product 09,2,2375,0,0,475
N-00267,2025-09-10,paid,P-016,Synthetic Product 16,3,3600,0,0,1080
N-00268,2025-09-21,paid,P-023,Synthetic Product 23,4,4825,0,0,1930
N-00269,2025-10-02,paid,P-006,Synthetic Product 06,5,1850,0,450,925
N-00270,2025-10-13,paid,P-013,Synthetic Product 13,1,3075,0,0,308
N-00271,2025-10-24,paid,P-020,Synthetic Product 20,2,4300,200,0,860
N-00272,2025-11-04,paid,P-003,Synthetic Product 03,3,1325,0,0,398
N-00273,2025-11-15,paid,P-010,Synthetic Product 10,4,2550,0,450,1020
N-00274,2025-11-26,paid,P-017,Synthetic Product 17,5,3775,0,0,1888
N-00275,2025-12-07,paid,P-024,Synthetic Product 24,1,5000,0,0,500
N-00276,2025-12-18,paid,P-007,Synthetic Product 07,2,2025,0,0,405
N-00277,2025-12-29,paid,P-014,Synthetic Product 14,3,3250,0,450,975
N-00278,2026-01-09,paid,P-021,Synthetic Product 21,4,4475,0,0,1790
N-00279,2026-01-20,paid,P-004,Synthetic Product 04,5,1500,0,0,750
N-00280,2026-01-31,paid,P-011,Synthetic Product 11,1,2725,200,0,272
N-00281,2026-02-11,paid,P-018,Synthetic Product 18,2,3950,0,450,790
N-00282,2026-02-22,paid,P-001,Synthetic Product 01,3,975,0,0,292
N-00283,2026-03-05,paid,P-008,Synthetic Product 08,4,2200,0,0,880
N-00284,2026-03-16,paid,P-015,Synthetic Product 15,5,3425,0,0,1712
N-00285,2026-03-27,paid,P-022,Synthetic Product 22,1,4650,0,450,465
N-00286,2026-04-07,paid,P-005,Synthetic Product 05,2,1675,0,0,335
N-00287,2026-04-18,paid,P-012,Synthetic Product 12,3,2900,0,0,870
N-00288,2026-04-29,cancelled,P-019,Synthetic Product 19,4,4125,0,0,1650
N-00289,2026-05-10,paid,P-002,Synthetic Product 02,5,1150,200,450,575
N-00290,2026-05-21,paid,P-009,Synthetic Product 09,1,2375,0,0,238
N-00291,2026-06-01,paid,P-016,Synthetic Product 16,2,3600,0,0,720
N-00292,2026-06-12,refunded,P-023,Synthetic Product 23,3,4825,0,0,1448
N-00293,2026-06-23,paid,P-006,Synthetic Product 06,4,1850,0,450,740
N-00294,2026-07-04,paid,P-013,Synthetic Product 13,5,3075,0,0,1538
N-00295,2026-07-15,paid,P-020,Synthetic Product 20,1,4300,0,0,430
N-00296,2026-07-26,paid,P-003,Synthetic Product 03,2,1325,0,0,265
N-00297,2026-08-06,paid,P-010,Synthetic Product 10,3,2550,0,450,765
N-00298,2026-08-17,paid,P-017,Synthetic Product 17,4,3775,200,0,1510
N-00299,2026-08-28,paid,P-024,Synthetic Product 24,5,5000,0,0,2500
N-00300,2025-09-08,paid,P-007,Synthetic Product 07,1,2025,0,0,202
N-00301,2025-09-19,paid,P-014,Synthetic Product 14,2,3250,0,450,650
N-00302,2025-09-30,paid,P-021,Synthetic Product 21,3,4475,0,0,1342
N-00303,2025-10-11,paid,P-004,Synthetic Product 04,4,1500,0,0,600
N-00304,2025-10-22,paid,P-011,Synthetic Product 11,5,2725,0,0,1362
N-00305,2025-11-02,paid,P-018,Synthetic Product 18,1,3950,0,450,395
N-00306,2025-11-13,paid,P-001,Synthetic Product 01,2,975,0,0,195
N-00307,2025-11-24,paid,P-008,Synthetic Product 08,3,2200,200,0,660
N-00308,2025-12-05,paid,P-015,Synthetic Product 15,4,3425,0,0,1370
N-00309,2025-12-16,paid,P-022,Synthetic Product 22,5,4650,0,450,2325
N-00310,2025-12-27,paid,P-005,Synthetic Product 05,1,1675,0,0,168
N-00311,2026-01-07,paid,P-012,Synthetic Product 12,2,2900,0,0,580
N-00312,2026-01-18,paid,P-019,Synthetic Product 19,3,4125,0,0,1238
N-00313,2026-01-29,paid,P-002,Synthetic Product 02,4,1150,0,450,460
N-00314,2026-02-09,paid,P-009,Synthetic Product 09,5,2375,0,0,1188
N-00315,2026-02-20,paid,P-016,Synthetic Product 16,1,3600,0,0,360
N-00316,2026-03-03,paid,P-023,Synthetic Product 23,2,4825,200,0,965
N-00317,2026-03-14,paid,P-006,Synthetic Product 06,3,1850,0,450,555
N-00318,2026-03-25,paid,P-013,Synthetic Product 13,4,3075,0,0,1230
N-00319,2026-04-05,paid,P-020,Synthetic Product 20,5,4300,0,0,2150
N-00320,2026-04-16,paid,P-003,Synthetic Product 03,1,1325,0,0,132
N-00321,2026-04-27,paid,P-010,Synthetic Product 10,2,2550,0,450,510
N-00322,2026-05-08,paid,P-017,Synthetic Product 17,3,3775,0,0,1132
N-00323,2026-05-19,paid,P-024,Synthetic Product 24,4,5000,0,0,2000
N-00324,2026-05-30,paid,P-007,Synthetic Product 07,5,2025,0,0,1012
N-00325,2026-06-10,paid,P-014,Synthetic Product 14,1,3250,200,450,325
N-00326,2026-06-21,paid,P-021,Synthetic Product 21,2,4475,0,0,895
N-00327,2026-07-02,paid,P-004,Synthetic Product 04,3,1500,0,0,450
N-00328,2026-07-13,paid,P-011,Synthetic Product 11,4,2725,0,0,1090
N-00329,2026-07-24,cancelled,P-018,Synthetic Product 18,5,3950,0,450,1975
N-00330,2026-08-04,paid,P-001,Synthetic Product 01,1,975,0,0,98
N-00331,2026-08-15,paid,P-008,Synthetic Product 08,2,2200,0,0,440
N-00332,2026-08-26,paid,P-015,Synthetic Product 15,3,3425,0,0,1028
N-00333,2025-09-06,paid,P-022,Synthetic Product 22,4,4650,0,450,1860
N-00334,2025-09-17,paid,P-005,Synthetic Product 05,5,1675,200,0,838
N-00335,2025-09-28,paid,P-012,Synthetic Product 12,1,2900,0,0,290
N-00336,2025-10-09,paid,P-019,Synthetic Product 19,2,4125,0,0,825
N-00337,2025-10-20,paid,P-002,Synthetic Product 02,3,1150,0,450,345
N-00338,2025-10-31,paid,P-009,Synthetic Product 09,4,2375,0,0,950
N-00339,2025-11-11,paid,P-016,Synthetic Product 16,5,3600,0,0,1800
N-00340,2025-11-22,paid,P-023,Synthetic Product 23,1,4825,0,0,482
