注文番号,注文日,状態,商品コード,商品名,個数,販売単価,クーポン,送料,消費税
S-00065,2026/08/12,発送済,P-019,Synthetic Product 19,2,4125,0,450,825
S-00066,2026/08/23,発送済,P-002,Synthetic Product 02,3,1150,0,0,345
S-00067,2025/09/03,発送済,P-009,Synthetic Product 09,4,2375,0,0,950
S-00068,2025/09/14,発送済,P-016,Synthetic Product 16,5,3600,0,0,1800
S-00069,2025/09/25,発送済,P-023,Synthetic Product 23,1,4825,0,450,482
S-00070,2025/10/06,発送済,P-006,Synthetic Product 06,2,1850,0,0,370
S-00071,2025/10/17,発送済,P-013,Synthetic Product 13,3,3075,0,0,922
S-00072,2025/10/28,発送済,P-020,Synthetic Product 20,4,4300,0,0,1720
S-00073,2025/11/08,発送済,P-003,Synthetic Product 03,5,1325,200,450,662
S-00074,2025/11/19,発送済,P-010,Synthetic Product 10,1,2550,0,0,255
S-00075,2025/11/30,発送済,P-017,Synthetic Product 17,2,3775,0,0,755
S-00076,2025/12/11,発送済,P-024,Synthetic Product 24,3,5000,0,0,1500
S-00077,2025/12/22,発送済,P-007,Synthetic Product 07,4,2025,0,450,810
S-00078,2026/01/02,発送済,P-014,Synthetic Product 14,5,3250,0,0,1625
S-00079,2026/01/13,発送済,P-021,Synthetic Product 21,1,4475,0,0,448
S-00080,2026/01/24,発送済,P-004,Synthetic Product 04,2,1500,0,0,300
S-00081,2026/02/04,発送済,P-011,Synthetic Product 11,3,2725,0,450,818
S-00082,2026/02/15,発送済,P-018,Synthetic Product 18,4,3950,200,0,1580
S-00083,2026/02/26,キャンセル,P-001,Synthetic Product 01,5,975,0,0,488
S-00084,2026/03/09,発送済,P-008,Synthetic Product 08,1,2200,0,0,220
S-00085,2026/03/20,発送済,P-015,Synthetic Product 15,2,3425,0,450,685
S-00086,2026/03/31,発送済,P-022,Synthetic Product 22,3,4650,0,0,1395
S-00087,2026/04/11,発送済,P-005,Synthetic Product 05,4,1675,0,0,670
S-00088,2026/04/22,発送済,P-012,Synthetic Product 12,5,2900,0,0,1450
S-00089,2026/05/03,発送済,P-019,Synthetic Product 19,1,4125,0,450,412
S-00090,2026/05/14,発送済,P-002,Synthetic Product 02,2,1150,0,0,230
S-00091,2026/05/25,発送済,P-009,Synthetic Product 09,3,2375,200,0,712
S-00092,2026/06/05,発送済,P-016,Synthetic Product 16,4,3600,0,0,1440
S-00093,2026/06/16,発送済,P-023,Synthetic Product 23,5,4825,0,450,2412
S-00094,2026/06/27,発送済,P-006,Synthetic Product 06,1,1850,0,0,185
S-00095,2026/07/08,発送済,P-013,Synthetic Product 13,2,3075,0,0,615
S-00096,2026/07/19,発送済,P-020,Synthetic Product 20,3,4300,0,0,1290
S-00097,2026/07/30,発送済,P-003,Synthetic Product 03,4,1325,0,450,530
S-00098,2026/08/10,返金,P-010,Synthetic Product 10,5,2550,0,0,1275
S-00099,2026/08/21,発送済,P-017,Synthetic Product 17,1,3775,0,0,378
S-00100,2025/09/01,発送済,P-024,Synthetic Product 24,2,5000,200,0,1000
S-00101,2025/09/12,発送済,P-007,Synthetic Product 07,3,2025,0,450,608
S-00102,2025/09/23,発送済,P-014,Synthetic Product 14,4,3250,0,0,1300
S-00103,2025/10/04,発送済,P-021,Synthetic Product 21,5,4475,0,0,2238
S-00104,2025/10/15,発送済,P-004,Synthetic Product 04,1,1500,0,0,150
S-00105,2025/10/26,発送済,P-011,Synthetic Product 11,2,2725,0,450,545
S-00106,2025/11/06,発送済,P-018,Synthetic Product 18,3,3950,0,0,1185
S-00107,2025/11/17,発送済,P-001,Synthetic Product 01,4,975,0,0,390
S-00108,2025/11/28,発送済,P-008,Synthetic Product 08,5,2200,0,0,1100
S-00109,2025/12/09,発送済,P-015,Synthetic Product 15,1,3425,200,450,342
S-00110,2025/12/20,発送済,P-022,Synthetic Product 22,2,4650,0,0,930
S-00111,2025/12/31,発送済,P-005,Synthetic Product 05,3,1675,0,0,502
S-00112,2026/01/11,発送済,P-012,Synthetic Product 12,4,2900,0,0,1160
S-00113,2026/01/22,発送済,P-019,Synthetic Product 19,5,4125,0,450,2062
S-00114,2026/02/02,発送済,P-002,Synthetic Product 02,1,1150,0,0,115
S-00115,2026/02/13,発送済,P-009,Synthetic Product 09,2,2375,0,0,475
S-00116,2026/02/24,発送済,P-016,Synthetic Product 16,3,3600,0,0,1080
S-00117,2026/03/07,発送済,P-023,Synthetic Product 23,4,4825,0,450,1930
S-00118,2026/03/18,発送済,P-006,Synthetic Product 06,5,1850,200,0,925
S-00119,2026/03/29,発送済,P-013,Synthetic Product 13,1,3075,0,0,308
S-00120,2026/04/09,発送済,P-020,Synthetic Product 20,2,4300,0,0,860
S-00121,2026/04/20,発送済,P-003,Synthetic Product 03,3,1325,0,450,398
S-00122,2026/05/01,発送済,P-010,Synthetic Product 10,4,2550,0,0,1020
S-00123,2026/05/12,発送済,P-017,Synthetic Product 17,5,3775,0,0,1888
S-00124,2026/05/23,キャンセル,P-024,Synthetic Product 24,1,5000,0,0,500
S-00125,2026/06/03,発送済,P-007,Synthetic Product 07,2,2025,0,450,405
S-00126,2026/06/14,発送済,P-014,Synthetic Product 14,3,3250,0,0,975
S-00127,2026/06/25,発送済,P-021,Synthetic Product 21,4,4475,200,0,1790
S-00128,2026/07/06,発送済,P-004,Synthetic Product 04,5,1500,0,0,750
S-00129,2026/07/17,発送済,P-011,Synthetic Product 11,1,2725,0,450,272
S-00130,2026/07/28,発送済,P-018,Synthetic Product 18,2,3950,0,0,790
S-00131,2026/08/08,発送済,P-001,Synthetic Product 01,3,975,0,0,292
S-00132,2026/08/19,発送済,P-008,Synthetic Product 08,4,2200,0,0,880
S-00133,2026/08/30,発送済,P-015,Synthetic Product 15,5,3425,0,450,1712
S-00134,2025/09/10,発送済,P-022,Synthetic Product 22,1,4650,0,0,465
S-00135,2025/09/21,発送済,P-005,Synthetic Product 05,2,1675,0,0,335
S-00136,2025/10/02,発送済,P-012,Synthetic Product 12,3,2900,200,0,870
S-00137,2025/10/13,発送済,P-019,Synthetic Product 19,4,4125,0,450,1650
S-00138,2025/10/24,発送済,P-002,Synthetic Product 02,5,1150,0,0,575
S-00139,2025/11/04,発送済,P-009,Synthetic Product 09,1,2375,0,0,238
S-00140,2025/11/15,発送済,P-016,Synthetic Product 16,2,3600,0,0,720
S-00141,2025/11/26,発送済,P-023,Synthetic Product 23,3,4825,0,450,1448
S-00142,2025/12/07,発送済,P-006,Synthetic Product 06,4,1850,0,0,740
S-00143,2025/12/18,発送済,P-013,Synthetic Product 13,5,3075,0,0,1538
S-00144,2025/12/29,発送済,P-020,Synthetic Product 20,1,4300,0,0,430
S-00145,2026/01/09,発送済,P-003,Synthetic Product 03,2,1325,200,450,265
S-00146,2026/01/20,発送済,P-010,Synthetic Product 10,3,2550,0,0,765
S-00147,2026/01/31,発送済,P-017,Synthetic Product 17,4,3775,0,0,1510
S-00148,2026/02/11,発送済,P-024,Synthetic Product 24,5,5000,0,0,2500
S-00149,2026/02/22,発送済,P-007,Synthetic Product 07,1,2025,0,450,202
S-00150,2026/03/05,発送済,P-014,Synthetic Product 14,2,3250,0,0,650
S-00151,2026/03/16,発送済,P-021,Synthetic Product 21,3,4475,0,0,1342
S-00152,2026/03/27,発送済,P-004,Synthetic Product 04,4,1500,0,0,600
S-00153,2026/04/07,発送済,P-011,Synthetic Product 11,5,2725,0,450,1362
S-00154,2026/04/18,発送済,P-018,Synthetic Product 18,1,3950,200,0,395
S-00155,2026/04/29,発送済,P-001,Synthetic Product 01,2,975,0,0,195
S-00156,2026/05/10,発送済,P-008,Synthetic Product 08,3,2200,0,0,660
S-00157,2026/05/21,発送済,P-015,Synthetic Product 15,4,3425,0,450,1370
S-00158,2026/06/01,発送済,P-022,Synthetic Product 22,5,4650,0,0,2325
S-00159,2026/06/12,発送済,P-005,Synthetic Product 05,1,1675,0,0,168
S-00160,2026/06/23,発送済,P-012,Synthetic Product 12,2,2900,0,0,580
S-00161,2026/07/04,発送済,P-019,Synthetic Product 19,3,4125,0,450,1238
S-00162,2026/07/15,発送済,P-002,Synthetic Product 02,4,1150,0,0,460
S-00163,2026/07/26,発送済,P-009,Synthetic Product 09,5,2375,200,0,1188
S-00164,2026/08/06,発送済,P-016,Synthetic Product 16,1,3600,0,0,360
S-00165,2026/08/17,キャンセル,P-023,Synthetic Product 23,2,4825,0,450,965
S-00166,2026/08/28,発送済,P-006,Synthetic Product 06,3,1850,0,0,555
S-00167,2025/09/08,発送済,P-013,Synthetic Product 13,4,3075,0,0,1230
S-00168,2025/09/19,発送済,P-020,Synthetic Product 20,5,4300,0,0,2150
S-00169,2025/09/30,発送済,P-003,Synthetic Product 03,1,1325,0,450,132
S-00170,2025/10/11,発送済,P-010,Synthetic Product 10,2,2550,0,0,510
S-00171,2025/10/22,発送済,P-017,Synthetic Product 17,3,3775,0,0,1132
S-00172,2025/11/02,発送済,P-024,Synthetic Product 24,4,5000,200,0,2000
S-00173,2025/11/13,発送済,P-007,Synthetic Product 07,5,2025,0,450,1012
S-00174,2025/11/24,発送済,P-014,Synthetic Product 14,1,3250,0,0,325
S-00175,2025/12/05,発送済,P-021,Synthetic Product 21,2,4475,0,0,895
S-00176,2025/12/16,発送済,P-004,Synthetic Product 04,3,1500,0,0,450
S-00177,2025/12/27,発送済,P-011,Synthetic Product 11,4,2725,0,450,1090
S-00178,2026/01/07,発送済,P-018,Synthetic Product 18,5,3950,0,0,1975
S-00179,2026/01/18,発送済,P-001,Synthetic Product 01,1,975,0,0,98
S-00180,2026/01/29,発送済,P-008,Synthetic Product 08,2,2200,0,0,440
S-00181,2026/02/09,発送済,P-015,Synthetic Product 15,3,3425,200,450,1028
S-00182,2026/02/20,発送済,P-022,Synthetic Product 22,4,4650,0,0,1860
S-00183,2026/03/03,発送済,P-005,Synthetic Product 05,5,1675,0,0,838
S-00184,2026/03/14,発送済,P-012,Synthetic Product 12,1,2900,0,0,290
S-00185,2026/03/25,発送済,P-019,Synthetic Product 19,2,4125,0,450,825
S-00186,2026/04/05,発送済,P-002,Synthetic Product 02,3,1150,0,0,345
S-00187,2026/04/16,発送済,P-009,Synthetic Product 09,4,2375,0,0,950
S-00188,2026/04/27,発送済,P-016,Synthetic Product 16,5,3600,0,0,1800
S-00189,2026/05/08,発送済,P-023,Synthetic Product 23,1,4825,0,450,482
S-00190,2026/05/19,発送済,P-006,Synthetic Product 06,2,1850,200,0,370
S-00191,2026/05/30,発送済,P-013,Synthetic Product 13,3,3075,0,0,922
S-00192,2026/06/10,発送済,P-020,Synthetic Product 20,4,4300,0,0,1720
S-00193,2026/06/21,発送済,P-003,Synthetic Product 03,5,1325,0,450,662
S-00194,2026/07/02,発送済,P-010,Synthetic Product 10,1,2550,0,0,255
S-00195,2026/07/13,返金,P-017,Synthetic Product 17,2,3775,0,0,755
S-00196,2026/07/24,発送済,P-024,Synthetic Product 24,3,5000,0,0,1500
S-00197,2026/08/04,発送済,P-007,Synthetic Product 07,4,2025,0,450,810
S-00198,2026/08/15,発送済,P-014,Synthetic Product 14,5,3250,0,0,1625
S-00199,2026/08/26,発送済,P-021,Synthetic Product 21,1,4475,200,0,448
S-00200,2025/09/06,発送済,P-004,Synthetic Product 04,2,1500,0,0,300
S-00201,2025/09/17,発送済,P-011,Synthetic Product 11,3,2725,0,450,818
S-00202,2025/09/28,発送済,P-018,Synthetic Product 18,4,3950,0,0,1580
S-00203,2025/10/09,発送済,P-001,Synthetic Product 01,5,975,0,0,488
S-00204,2025/10/20,発送済,P-008,Synthetic Product 08,1,2200,0,0,220
S-00205,2025/10/31,発送済,P-015,Synthetic Product 15,2,3425,0,450,685
S-00206,2025/11/11,キャンセル,P-022,Synthetic Product 22,3,4650,0,0,1395
S-00207,2025/11/22,発送済,P-005,Synthetic Product 05,4,1675,0,0,670
S-00208,2025/12/03,発送済,P-012,Synthetic Product 12,5,2900,200,0,1450
S-00209,2025/12/14,発送済,P-019,Synthetic Product 19,1,4125,0,450,412
S-00210,2025/12/25,発送済,P-002,Synthetic Product 02,2,1150,0,0,230
S-00211,2026/01/05,発送済,P-009,Synthetic Product 09,3,2375,0,0,712
S-00212,2026/01/16,発送済,P-016,Synthetic Product 16,4,3600,0,0,1440
S-00213,2026/01/27,発送済,P-023,Synthetic Product 23,5,4825,0,450,2412
S-00214,2026/02/07,発送済,P-006,Synthetic Product 06,1,1850,0,0,185
S-00215,2026/02/18,発送済,P-013,Synthetic Product 13,2,3075,0,0,615
S-00216,2026/03/01,発送済,P-020,Synthetic Product 20,3,4300,0,0,1290
S-00217,2026/03/12,発送済,P-003,Synthetic Product 03,4,1325,200,450,530
S-00218,2026/03/23,発送済,P-010,Synthetic Product 10,5,2550,0,0,1275
S-00219,2026/04/03,発送済,P-017,Synthetic Product 17,1,3775,0,0,378
S-00220,2026/04/14,発送済,P-024,Synthetic Product 24,2,5000,0,0,1000
S-00221,2026/04/25,発送済,P-007,Synthetic Product 07,3,2025,0,450,608
S-00222,2026/05/06,発送済,P-014,Synthetic Product 14,4,3250,0,0,1300
S-00223,2026/05/17,発送済,P-021,Synthetic Product 21,5,4475,0,0,2238
S-00224,2026/05/28,発送済,P-004,Synthetic Product 04,1,1500,0,0,150
S-00225,2026/06/08,発送済,P-011,Synthetic Product 11,2,2725,0,450,545
S-00226,2026/06/19,発送済,P-018,Synthetic Product 18,3,3950,200,0,1185
S-00227,2026/06/30,発送済,P-001,Synthetic Product 01,4,975,0,0,390
S-00228,2026/07/11,発送済,P-008,Synthetic Product 08,5,2200,0,0,1100
S-00229,2026/07/22,発送済,P-015,Synthetic Product 15,1,3425,0,450,342
S-00230,2026/08/02,発送済,P-022,Synthetic Product 22,2,4650,0,0,930
S-00231,2026/08/13,発送済,P-005,Synthetic Product 05,3,1675,0,0,502
S-00232,2026/08/24,発送済,P-012,Synthetic Product 12,4,2900,0,0,1160
S-00233,2025/09/04,発送済,P-019,Synthetic Product 19,5,4125,0,450,2062
S-00234,2025/09/15,発送済,P-002,Synthetic Product 02,1,1150,0,0,115
S-00235,2025/09/26,発送済,P-009,Synthetic Product 09,2,2375,200,0,475
S-00236,2025/10/07,発送済,P-016,Synthetic Product 16,3,3600,0,0,1080
S-00237,2025/10/18,発送済,P-023,Synthetic Product 23,4,4825,0,450,1930
S-00238,2025/10/29,発送済,P-006,Synthetic Product 06,5,1850,0,0,925
S-00239,2025/11/09,発送済,P-013,Synthetic Product 13,1,3075,0,0,308
S-00240,2025/11/20,発送済,P-020,Synthetic Product 20,2,4300,0,0,860
S-00241,2025/12/01,発送済,P-003,Synthetic Product 03,3,1325,0,450,398
S-00242,2025/12/12,発送済,P-010,Synthetic Product 10,4,2550,0,0,1020
S-00243,2025/12/23,発送済,P-017,Synthetic Product 17,5,3775,0,0,1888
S-00244,2026/01/03,発送済,P-024,Synthetic Product 24,1,5000,200,0,500
S-00245,2026/01/14,発送済,P-007,Synthetic Product 07,2,2025,0,450,405
S-00246,2026/01/25,発送済,P-014,Synthetic Product 14,3,3250,0,0,975
S-00247,2026/02/05,キャンセル,P-021,Synthetic Product 21,4,4475,0,0,1790
S-00248,2026/02/16,発送済,P-004,Synthetic Product 04,5,1500,0,0,750
S-00249,2026/02/27,発送済,P-011,Synthetic Product 11,1,2725,0,450,272
S-00250,2026/03/10,発送済,P-018,Synthetic Product 18,2,3950,0,0,790
S-00251,2026/03/21,発送済,P-001,Synthetic Product 01,3,975,0,0,292
S-00252,2026/04/01,発送済,P-008,Synthetic Product 08,4,2200,0,0,880
S-00253,2026/04/12,発送済,P-015,Synthetic Product 15,5,3425,200,450,1712
S-00254,2026/04/23,発送済,P-022,Synthetic Product 22,1,4650,0,0,465
S-00255,2026/05/04,発送済,P-005,Synthetic Product 05,2,1675,0,0,335
S-00256,2026/05/15,発送済,P-012,Synthetic Product 12,3,2900,0,0,870
S-00257,2026/05/26,発送済,P-019,Synthetic Product 19,4,4125,0,450,1650
S-00258,2026/06/06,発送済,P-002,Synthetic Product 02,5,1150,0,0,575
S-00259,2026/06/17,発送済,P-009,Synthetic Product 09,1,2375,0,0,238
S-00260,2026/06/28,発送済,P-016,Synthetic Product 16,2,3600,0,0,720
S-00261,2026/07/09,発送済,P-023,Synthetic Product 23,3,4825,0,450,1448
S-00262,2026/07/20,発送済,P-006,Synthetic Product 06,4,1850,200,0,740
S-00263,2026/07/31,発送済,P-013,Synthetic Product 13,5,3075,0,0,1538
S-00264,2026/08/11,発送済,P-020,Synthetic Product 20,1,4300,0,0,430
S-00265,2026/08/22,発送済,P-003,Synthetic Product 03,2,1325,0,450,265
S-00266,2025/09/02,発送済,P-010,Synthetic Product 10,3,2550,0,0,765
S-00267,2025/09/13,発送済,P-017,Synthetic Product 17,4,3775,0,0,1510
S-00268,2025/09/24,発送済,P-024,Synthetic Product 24,5,5000,0,0,2500
S-00269,2025/10/05,発送済,P-007,Synthetic Product 07,1,2025,0,450,202
S-00270,2025/10/16,発送済,P-014,Synthetic Product 14,2,3250,0,0,650
S-00271,2025/10/27,発送済,P-021,Synthetic Product 21,3,4475,200,0,1342
S-00272,2025/11/07,発送済,P-004,Synthetic Product 04,4,1500,0,0,600
S-00273,2025/11/18,発送済,P-011,Synthetic Product 11,5,2725,0,450,1362
S-00274,2025/11/29,発送済,P-018,Synthetic Product 18,1,3950,0,0,395
S-00275,2025/12/10,発送済,P-001,Synthetic Product 01,2,975,0,0,195
S-00276,2025/12/21,発送済,P-008,Synthetic Product 08,3,2200,0,0,660
S-00277,2026/01/01,発送済,P-015,Synthetic Product 15,4,3425,0,450,1370
S-00278,2026/01/12,発送済,P-022,Synthetic Product 22,5,4650,0,0,2325
S-00279,2026/01/23,発送済,P-005,Synthetic Product 05,1,1675,0,0,168
S-00280,2026/02/03,発送済,P-012,Synthetic Product 12,2,2900,200,0,580
S-00281,2026/02/14,発送済,P-019,Synthetic Product 19,3,4125,0,450,1238
S-00282,2026/02/25,発送済,P-002,Synthetic Product 02,4,1150,0,0,460
S-00283,2026/03/08,発送済,P-009,Synthetic Product 09,5,2375,0,0,1188
S-00284,2026/03/19,発送済,P-016,Synthetic Product 16,1,3600,0,0,360
S-00285,2026/03/30,発送済,P-023,Synthetic Product 23,2,4825,0,450,965
S-00286,2026/04/10,発送済,P-006,Synthetic Product 06,3,1850,0,0,555
S-00287,2026/04/21,発送済,P-013,Synthetic Product 13,4,3075,0,0,1230
S-00288,2026/05/02,キャンセル,P-020,Synthetic Product 20,5,4300,0,0,2150
S-00289,2026/05/13,発送済,P-003,Synthetic Product 03,1,1325,200,450,132
S-00290,2026/05/24,発送済,P-010,Synthetic Product 10,2,2550,0,0,510
S-00291,2026/06/04,発送済,P-017,Synthetic Product 17,3,3775,0,0,1132
S-00292,2026/06/15,返金,P-024,Synthetic Product 24,4,5000,0,0,2000
S-00293,2026/06/26,発送済,P-007,Synthetic Product 07,5,2025,0,450,1012
S-00294,2026/07/07,発送済,P-014,Synthetic Product 14,1,3250,0,0,325
S-00295,2026/07/18,発送済,P-021,Synthetic Product 21,2,4475,0,0,895
S-00296,2026/07/29,発送済,P-004,Synthetic Product 04,3,1500,0,0,450
S-00297,2026/08/09,発送済,P-011,Synthetic Product 11,4,2725,0,450,1090
S-00298,2026/08/20,発送済,P-018,Synthetic Product 18,5,3950,200,0,1975
S-00299,2026/08/31,発送済,P-001,Synthetic Product 01,1,975,0,0,98
S-00300,2025/09/11,発送済,P-008,Synthetic Product 08,2,2200,0,0,440
S-00301,2025/09/22,発送済,P-015,Synthetic Product 15,3,3425,0,450,1028
S-00302,2025/10/03,発送済,P-022,Synthetic Product 22,4,4650,0,0,1860
S-00303,2025/10/14,発送済,P-005,Synthetic Product 05,5,1675,0,0,838
S-00304,2025/10/25,発送済,P-012,Synthetic Product 12,1,2900,0,0,290
S-00305,2025/11/05,発送済,P-019,Synthetic Product 19,2,4125,0,450,825
S-00306,2025/11/16,発送済,P-002,Synthetic Product 02,3,1150,0,0,345
S-00307,2025/11/27,発送済,P-009,Synthetic Product 09,4,2375,200,0,950
S-00308,2025/12/08,発送済,P-016,Synthetic Product 16,5,3600,0,0,1800
S-00309,2025/12/19,発送済,P-023,Synthetic Product 23,1,4825,0,450,482
S-00310,2025/12/30,発送済,P-006,Synthetic Product 06,2,1850,0,0,370
S-00311,2026/01/10,発送済,P-013,Synthetic Product 13,3,3075,0,0,922
S-00312,2026/01/21,発送済,P-020,Synthetic Product 20,4,4300,0,0,1720
S-00313,2026/02/01,発送済,P-003,Synthetic Product 03,5,1325,0,450,662
S-00314,2026/02/12,発送済,P-010,Synthetic Product 10,1,2550,0,0,255
S-00315,2026/02/23,発送済,P-017,Synthetic Product 17,2,3775,0,0,755
S-00316,2026/03/06,発送済,P-024,Synthetic Product 24,3,5000,200,0,1500
S-00317,2026/03/17,発送済,P-007,Synthetic Product 07,4,2025,0,450,810
S-00318,2026/03/28,発送済,P-014,Synthetic Product 14,5,3250,0,0,1625
S-00319,2026/04/08,発送済,P-021,Synthetic Product 21,1,4475,0,0,448
S-00320,2026/04/19,発送済,P-004,Synthetic Product 04,2,1500,0,0,300
S-00321,2026/04/30,発送済,P-011,Synthetic Product 11,3,2725,0,450,818
S-00322,2026/05/11,発送済,P-018,Synthetic Product 18,4,3950,0,0,1580
S-00323,2026/05/22,発送済,P-001,Synthetic Product 01,5,975,0,0,488
S-00324,2026/06/02,発送済,P-008,Synthetic Product 08,1,2200,0,0,220
S-00325,2026/06/13,発送済,P-015,Synthetic Product 15,2,3425,200,450,685
S-00326,2026/06/24,発送済,P-022,Synthetic Product 22,3,4650,0,0,1395
S-00327,2026/07/05,発送済,P-005,Synthetic Product 05,4,1675,0,0,670
S-00328,2026/07/16,発送済,P-012,Synthetic Product 12,5,2900,0,0,1450
S-00329,2026/07/27,キャンセル,P-019,Synthetic Product 19,1,4125,0,450,412
S-00330,2026/08/07,発送済,P-002,Synthetic Product 02,2,1150,0,0,230
S-00331,2026/08/18,発送済,P-009,Synthetic Product 09,3,2375,0,0,712
S-00332,2026/08/29,発送済,P-016,Synthetic Product 16,4,3600,0,0,1440
S-00333,2025/09/09,発送済,P-023,Synthetic Product 23,5,4825,0,450,2412
S-00334,2025/09/20,発送済,P-006,Synthetic Product 06,1,1850,200,0,185
S-00335,2025/10/01,発送済,P-013,Synthetic Product 13,2,3075,0,0,615
S-00336,2025/10/12,発送済,P-020,Synthetic Product 20,3,4300,0,0,1290
